Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
head,4,4.28,4.75,0.69,3.42,4615
health,6,3.31,2.28,0.67,7.56,8322
heart,5,4.1,4.52,0.68,5.17,7532
high,4,4,3.46,0.69,4.58,2379
hip,3,2.9,4.21,0.61,6.17,1612
hockey,6,2.77,4.31,0.61,5.44,3919
hole,4,3.47,4.81,0.63,5.05,5908
hood,4,2.9,4.88,0.61,5.5,2655
hop,3,2.99,3.8,0.6,4.84,1945
horn,4,3.03,5,0.62,4.84,4421
house,5,4.42,5,0.69,3.16,6368
hunger,6,2.48,3.3,0.57,6.06,13438
illness,7,2.57,3.54,0.62,7,11448
instrument,10,2.62,4.27,0.64,6.94,23888
interest,8,3.42,1.8,0.69,7.37,33081
jacket,6,3.23,4.86,0.57,3.95,4780
jam,3,2.84,4.71,0.6,6.56,1067
James,5,3.53,#,0.68,#,7297
job,3,4.32,3.19,0.68,5.39,503
juice,5,3.14,4.89,0.56,4.4,4540
junk,4,2.9,3.88,0.52,6.62,2322
kick,4,3.57,4.33,0.59,4.06,3660
kingdom,7,2.9,3.76,0.67,6.05,13051
knees,5,3.12,#,0.55,4.42,7739
know,4,5.47,1.68,0.67,4.5,1590
known,5,3.8,1.83,0.7,4.5,1755
lab,3,3.31,4.69,0.62,8.71,3025
laid,4,3.18,3.6,0.65,5.84,3784
language,8,3.25,2.35,0.66,6.79,12230
law,3,3.77,2.57,0.67,8.33,2245
lay,3,3.47,3.86,0.65,5.84,2442
leave,5,4.46,2.53,0.67,5.58,7515
left,4,4.39,3.7,0.69,5.57,4023
life,4,4.61,2.69,0.7,5.89,3822
line,4,4.02,4.5,0.68,4.85,11918
little,6,4.87,3.67,0.7,3.95,9433
living,6,3.9,3.04,0.67,6.1,15202
long,4,4.54,3.18,0.7,4.24,9994
looking,7,4.34,3.53,0.67,4.05,13864
lord,4,3.85,3.04,0.66,5.95,4851
lot,3,4.46,3.7,0.67,6.26,2374
love,4,4.76,2.07,0.67,5.17,3911
luck,4,3.89,1.33,0.6,6.53,1967
made,4,4.46,2.52,0.7,4.68,5332
magic,5,3.43,2.9,0.66,5.52,5334
mail,4,3.27,4.69,0.64,4.65,4031
many,4,4.26,2.37,0.7,4.6,5319
maple,5,2.22,4.46,0.58,5.94,6746
mark,4,3.62,4.21,0.69,6.48,4915
