"code","task","A1_B1","A1_B2","A2_B1","A2_B2","trial","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
40491,1,9,6,8,7,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40491,1,9,7,9,8,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40499,1,5,7,4,7,3,"strict",20,"female","Chinese","jc",3,"Chinese, Cantonese ","yes","no","computer","not significant","no"
40499,1,5,7,4,7,3,"lenient",20,"female","Chinese","jc",3,"Chinese, Cantonese ","yes","no","computer","not significant","no"
40518,2,10,9,10,10,3,"strict",21,"male","Others","bachelor",2,"Dutch","no","no","computer","no","no"
40518,2,10,10,10,10,3,"lenient",21,"male","Others","bachelor",2,"Dutch","no","no","computer","no","no"
40527,2,9,10,8,10,3,"strict",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
40527,2,9,10,8,10,3,"strict",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
40527,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
40527,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
40535,1,3,3,5,5,2,"strict",19,"female","Chinese","bachelor",2,"Chinese","yes","no","computer","not significant","no"
40535,1,3,3,5,6,2,"lenient",19,"female","Chinese","bachelor",2,"Chinese","yes","no","computer","not significant","no"
40537,1,2,4,2,2,3,"strict",20,"female","Chinese","bachelor",2,"chinese","no","no","computer","not significant","no"
40537,1,2,4,2,2,3,"lenient",20,"female","Chinese","bachelor",2,"chinese","no","no","computer","not significant","no"
40543,2,10,9,8,10,1,"strict",20,"female","Chinese","bachelor",3,"Mandarin, Cantonese","no","no","computer","no","no"
40543,2,10,9,8,10,1,"strict",20,"female","Chinese","bachelor",3,"Mandarin, Cantonese","no","no","computer","no","no"
40543,2,10,10,10,10,2,"lenient",20,"female","Chinese","bachelor",3,"Mandarin, Cantonese","no","no","computer","no","no"
40543,2,10,10,10,10,2,"lenient",20,"female","Chinese","bachelor",3,"Mandarin, Cantonese","no","no","computer","no","no"
40546,2,10,10,9,8,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40546,2,10,10,9,8,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40546,2,10,10,9,9,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40546,2,10,10,9,9,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40567,1,10,4,8,5,3,"strict",19,"female","Chinese","bachelor",2,"Chinese","no","no","computer","no","no"
40567,1,10,4,8,5,3,"lenient",19,"female","Chinese","bachelor",2,"Chinese","no","no","computer","no","no"
40568,1,6,4,4,5,3,"strict",21,"female","Chinese","jc",3,"Mandarin, elementary German","no","no","computer","no","no"
40568,1,6,4,4,5,3,"strict",21,"female","Chinese","jc",3,"Mandarin, elementary German","no","no","computer","no","no"
40568,1,6,4,4,5,3,"lenient",21,"female","Chinese","jc",3,"Mandarin, elementary German","no","no","computer","no","no"
40568,1,6,4,4,5,3,"lenient",21,"female","Chinese","jc",3,"Mandarin, elementary German","no","no","computer","no","no"
40587,2,10,10,10,10,3,"strict",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40587,2,10,10,10,10,3,"strict",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40587,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40587,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40591,1,6,7,8,4,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
40591,1,6,7,8,4,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","yes","no"
40593,2,10,9,10,9,3,"strict",22,"male","prefer not","prefer not",2,"Chinese","yes","prefer not","prefer not","prefer not","prefer not"
40593,2,10,9,10,9,3,"strict",22,"male","prefer not","prefer not",2,"Chinese","yes","prefer not","prefer not","prefer not","prefer not"
40593,2,10,10,10,10,3,"lenient",22,"male","prefer not","prefer not",2,"Chinese","yes","prefer not","prefer not","prefer not","prefer not"
40593,2,10,10,10,10,3,"lenient",22,"male","prefer not","prefer not",2,"Chinese","yes","prefer not","prefer not","prefer not","prefer not"
40604,2,10,10,10,8,3,"strict",20,"female","Chinese","jc",3,"Mandarin, bahasa malaysia","no","no","computer","no","no"
40604,2,10,10,10,8,3,"strict",20,"female","Chinese","jc",3,"Mandarin, bahasa malaysia","no","no","computer","no","no"
40604,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",3,"Mandarin, bahasa malaysia","no","no","computer","no","no"
40604,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",3,"Mandarin, bahasa malaysia","no","no","computer","no","no"
40608,2,9,10,10,10,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","not significant","no"
40608,2,9,10,10,10,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","not significant","no"
40608,2,10,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","not significant","no"
